ccp_id,name,sec_status,system_class,region
31000660,"J235924",-0.99,2,"B-R00006"
31000661,"J103854",-0.99,2,"B-R00006"
31000662,"J214725",-0.99,2,"B-R00006"
31000663,"J101415",-0.99,2,"B-R00006"
31000664,"J122837",-0.99,2,"B-R00006"
31000665,"J125727",-0.99,2,"B-R00006"
31000666,"J142847",-0.99,2,"B-R00006"
31000667,"J155035",-0.99,2,"B-R00006"
31000668,"J102504",-0.99,2,"B-R00006"
31000669,"J160305",-0.99,2,"B-R00006"
31000670,"J151503",-0.99,2,"B-R00006"
31000671,"J142838",-0.99,2,"B-R00006"
31000672,"J131034",-0.99,2,"B-R00006"
31000673,"J214901",-0.99,2,"B-R00006"
31000674,"J113323",-0.99,2,"B-R00006"
31000675,"J112956",-0.99,2,"B-R00006"
31000676,"J104802",-0.99,2,"B-R00006"
31000677,"J100808",-0.99,2,"B-R00006"
31000678,"J100509",-0.99,2,"B-R00006"
31000679,"J142055",-0.99,2,"B-R00006"
31000680,"J135141",-0.99,2,"B-R00006"
31000681,"J151902",-0.99,2,"B-R00006"
31000682,"J235759",-0.99,2,"B-R00006"
31000683,"J164613",-0.99,2,"B-R00006"
31000684,"J225805",-0.99,2,"B-R00006"
31000685,"J112916",-0.99,2,"B-R00006"
31000686,"J115347",-0.99,2,"B-R00006"
31000687,"J224217",-0.99,2,"B-R00006"
31000688,"J110555",-0.99,2,"B-R00006"
31000689,"J143455",-0.99,2,"B-R00006"
31000690,"J111141",-0.99,2,"B-R00006"
31000691,"J104606",-0.99,2,"B-R00006"
31000692,"J222830",-0.99,2,"B-R00006"
31000693,"J123249",-0.99,2,"B-R00006"
31000694,"J115310",-0.99,2,"B-R00006"
31000695,"J143702",-0.99,2,"B-R00006"
31000696,"J223538",-0.99,2,"B-R00006"
31000697,"J131618",-0.99,2,"B-R00006"
31000698,"J215944",-0.99,2,"B-R00006"
31000699,"J121952",-0.99,2,"B-R00006"
31000700,"J121928",-0.99,2,"B-R00006"
31000701,"J105439",-0.99,2,"B-R00006"
31000702,"J150627",-0.99,2,"B-R00007"
31000703,"J121745",-0.99,2,"B-R00007"
31000704,"J141438",-0.99,2,"B-R00007"
31000705,"J214929",-0.99,2,"B-R00007"
31000706,"J130709",-0.99,2,"B-R00007"
31000707,"J103924",-0.99,2,"B-R00007"
31000708,"J211000",-0.99,2,"B-R00007"
31000709,"J123555",-0.99,2,"B-R00007"
31000710,"J151125",-0.99,2,"B-R00007"
31000711,"J123412",-0.99,2,"B-R00007"
31000712,"J112309",-0.99,2,"B-R00007"
31000713,"J123850",-0.99,2,"B-R00007"
31000714,"J163923",-0.99,2,"B-R00007"
31000715,"J143546",-0.99,2,"B-R00007"
31000716,"J130832",-0.99,2,"B-R00007"
31000717,"J221337",-0.99,2,"B-R00007"
31000718,"J113449",-0.99,2,"B-R00007"
31000719,"J212607",-0.99,2,"B-R00007"
31000720,"J165157",-0.99,2,"B-R00007"
31000721,"J142937",-0.99,2,"B-R00007"
31000722,"J120455",-0.99,2,"B-R00007"
31000723,"J122638",-0.99,2,"B-R00007"
31000724,"J161411",-0.99,2,"B-R00007"
31000725,"J124028",-0.99,2,"B-R00007"
31000726,"J134735",-0.99,2,"B-R00007"
31000727,"J142845",-0.99,2,"B-R00007"
31000728,"J140750",-0.99,2,"B-R00007"
31000729,"J104515",-0.99,2,"B-R00007"
31000730,"J113039",-0.99,2,"B-R00007"
31000731,"J111159",-0.99,2,"B-R00007"
31000732,"J105342",-0.99,2,"B-R00007"
31000733,"J121728",-0.99,2,"B-R00007"
31000734,"J115700",-0.99,2,"B-R00007"
31000735,"J143234",-0.99,2,"B-R00007"
31000736,"J122524",-0.99,2,"B-R00007"
31000737,"J124007",-0.99,2,"B-R00007"
31000738,"J150533",-0.99,2,"B-R00007"
31000739,"J143933",-0.99,2,"B-R00007"
31000740,"J225128",-0.99,2,"B-R00007"
31000741,"J133632",-0.99,2,"B-R00007"
31000742,"J131744",-0.99,2,"B-R00007"
31000743,"J125923",-0.99,2,"B-R00007"
31000744,"J161138",-0.99,2,"B-R00007"
31000745,"J125824",-0.99,2,"B-R00007"
31000746,"J223511",-0.99,2,"B-R00007"
31000747,"J134401",-0.99,2,"B-R00007"
31000748,"J214739",-0.99,2,"B-R00007"
31000749,"J104321",-0.99,2,"B-R00007"
31000750,"J115327",-0.99,2,"B-R00007"
31000751,"J154937",-0.99,2,"B-R00007"
31000752,"J112505",-0.99,2,"B-R00008"
31000753,"J102739",-0.99,2,"B-R00008"
31000754,"J171309",-0.99,2,"B-R00008"
31000755,"J133417",-0.99,2,"B-R00008"
31000756,"J124749",-0.99,2,"B-R00008"
31000757,"J122137",-0.99,2,"B-R00008"
31000758,"J140353",-0.99,2,"B-R00008"
31000759,"J104029",-0.99,2,"B-R00008"
31000760,"J151348",-0.99,2,"B-R00008"
31000761,"J163522",-0.99,2,"B-R00008"
31000762,"J131315",-0.99,2,"B-R00008"
31000763,"J114008",-0.99,2,"B-R00008"
31000764,"J233839",-0.99,2,"B-R00008"
31000765,"J112558",-0.99,2,"B-R00008"
31000766,"J114308",-0.99,2,"B-R00008"
31000767,"J130125",-0.99,2,"B-R00008"
31000768,"J173213",-0.99,2,"B-R00008"
31000769,"J160126",-0.99,2,"B-R00008"
31000770,"J154813",-0.99,2,"B-R00008"
31000771,"J215151",-0.99,2,"B-R00008"
31000772,"J144739",-0.99,2,"B-R00008"
31000773,"J102602",-0.99,2,"B-R00008"
31000774,"J120924",-0.99,2,"B-R00008"
31000775,"J212906",-0.99,2,"B-R00008"
31000776,"J101719",-0.99,2,"B-R00008"
31000777,"J101824",-0.99,2,"B-R00008"
31000778,"J153003",-0.99,2,"B-R00008"
31000779,"J105123",-0.99,2,"B-R00008"
31000780,"J122635",-0.99,2,"B-R00008"
31000781,"J152624",-0.99,2,"B-R00008"
31000782,"J224145",-0.99,2,"B-R00008"
31000783,"J163318",-0.99,2,"B-R00008"
31000784,"J144004",-0.99,2,"B-R00008"
31000785,"J122931",-0.99,2,"B-R00008"
31000786,"J173245",-0.99,2,"B-R00008"
31000787,"J145246",-0.99,2,"B-R00008"
31000788,"J124526",-0.99,2,"B-R00008"
31000789,"J165648",-0.99,2,"B-R00008"
31000790,"J134405",-0.99,2,"B-R00008"
31000791,"J213111",-0.99,2,"B-R00008"
31000792,"J135422",-0.99,2,"B-R00008"
31000793,"J153030",-0.99,2,"B-R00008"
31000794,"J120634",-0.99,2,"B-R00008"
31000795,"J102209",-0.99,2,"B-R00008"
31000796,"J123540",-0.99,2,"B-R00008"
31000797,"J112715",-0.99,2,"B-R00008"
31000798,"J162159",-0.99,2,"B-R00008"
31000799,"J122118",-0.99,2,"B-R00008"
31000800,"J105244",-0.99,2,"B-R00008"
31000801,"J123958",-0.99,2,"B-R00008"
31000802,"J223552",-0.99,2,"B-R00008"
31000803,"J232359",-0.99,2,"B-R00008"
31000804,"J171539",-0.99,2,"B-R00008"
31000805,"J100102",-0.99,2,"B-R00008"
31000806,"J154249",-0.99,2,"B-R00008"
31000807,"J105311",-0.99,2,"B-R00008"
31000808,"J210536",-0.99,2,"B-R00008"
31000809,"J151248",-0.99,2,"B-R00008"
31000810,"J131852",-0.99,2,"B-R00008"
31000811,"J141611",-0.99,2,"B-R00008"
31000812,"J113723",-0.99,2,"B-R00008"
31000813,"J121323",-0.99,2,"B-R00008"
31000814,"J144422",-0.99,2,"B-R00008"
31000815,"J140722",-0.99,2,"B-R00008"
31000816,"J141637",-0.99,2,"B-R00008"
31000817,"J112617",-0.99,2,"B-R00008"
31000818,"J150754",-0.99,2,"B-R00008"
31000819,"J102946",-0.99,2,"B-R00008"
31000820,"J115234",-0.99,2,"B-R00008"
31000821,"J145145",-0.99,2,"B-R00008"
31000822,"J145426",-0.99,2,"B-R00008"
31000823,"J122732",-0.99,2,"B-R00008"
31000824,"J144203",-0.99,2,"B-R00008"
31000825,"J140843",-0.99,2,"B-R00008"
31000826,"J155631",-0.99,2,"B-R00008"
31000827,"J235525",-0.99,2,"B-R00008"
31000828,"J121749",-0.99,2,"B-R00008"
31000829,"J162518",-0.99,2,"B-R00008"
31000830,"J132012",-0.99,2,"B-R00008"
31000831,"J102038",-0.99,2,"B-R00008"
31000832,"J150234",-0.99,2,"B-R00008"
31000833,"J112520",-0.99,2,"B-R00008"
31000834,"J165412",-0.99,2,"B-R00008"
31000835,"J151102",-0.99,2,"B-R00008"
31000836,"J133049",-0.99,2,"B-R00008"
31000837,"J161628",-0.99,2,"B-R00008"
31000838,"J134306",-0.99,2,"B-R00008"
31000839,"J131842",-0.99,2,"B-R00008"
31000840,"J232329",-0.99,2,"B-R00008"
31000841,"J164921",-0.99,2,"B-R00008"
31000842,"J203814",-0.99,2,"B-R00008"
31000843,"J151311",-0.99,2,"B-R00008"
31000844,"J101650",-0.99,2,"B-R00008"
31000845,"J165006",-0.99,2,"B-R00008"
31000846,"J103533",-0.99,2,"B-R00008"
31000847,"J101441",-0.99,2,"B-R00008"
31000848,"J124253",-0.99,2,"B-R00008"
31000849,"J232200",-0.99,2,"B-R00008"
31000850,"J144326",-0.99,2,"B-R00008"
31000851,"J124449",-0.99,2,"B-R00008"
31000852,"J100642",-0.99,2,"B-R00008"
31000853,"J133150",-0.99,2,"B-R00008"
31000854,"J164126",-0.99,2,"B-R00008"
31000855,"J171142",-0.99,2,"B-R00008"
31000856,"J145634",-0.99,2,"B-R00008"
31000857,"J151431",-0.99,2,"B-R00008"
31000858,"J233555",-0.99,2,"B-R00008"
31000859,"J100651",-0.99,2,"B-R00008"
31000860,"J132103",-0.99,2,"B-R00008"
31000861,"J121720",-0.99,2,"B-R00008"
31000862,"J210355",-0.99,2,"B-R00008"
31000863,"J125029",-0.99,2,"B-R00008"
31000864,"J103619",-0.99,2,"B-R00008"
31000865,"J165014",-0.99,2,"B-R00008"
31000866,"J124611",-0.99,2,"B-R00008"
31000867,"J150418",-0.99,2,"B-R00008"
31000868,"J145440",-0.99,2,"B-R00008"
31000869,"J113223",-0.99,2,"B-R00008"
31000870,"J234915",-0.99,2,"B-R00008"
31000871,"J162042",-0.99,2,"B-R00008"
31000872,"J112019",-0.99,2,"B-R00008"
31000873,"J162332",-0.99,2,"B-R00008"
31000874,"J125350",-0.99,2,"B-R00008"
31000875,"J101710",-0.99,2,"B-R00008"
31000876,"J223029",-0.99,2,"B-R00008"
31000877,"J234810",-0.99,2,"B-R00008"
31000878,"J135230",-0.99,2,"B-R00008"
31000879,"J111038",-0.99,2,"B-R00008"
31000880,"J160650",-0.99,3,"C-R00009"
31000881,"J114342",-0.99,3,"C-R00009"
31000882,"J152031",-0.99,3,"C-R00009"
31000883,"J113629",-0.99,3,"C-R00009"
31000884,"J220301",-0.99,3,"C-R00009"
31000885,"J102057",-0.99,3,"C-R00009"
31000886,"J124753",-0.99,3,"C-R00009"
31000887,"J114225",-0.99,3,"C-R00009"
31000888,"J105002",-0.99,3,"C-R00009"
31000889,"J111218",-0.99,3,"C-R00009"
31000890,"J111634",-0.99,3,"C-R00009"
31000891,"J105007",-0.99,3,"C-R00009"
31000892,"J205027",-0.99,3,"C-R00009"
31000893,"J111355",-0.99,3,"C-R00009"
31000894,"J101012",-0.99,3,"C-R00009"
31000895,"J161338",-0.99,3,"C-R00009"
31000896,"J170002",-0.99,3,"C-R00009"
31000897,"J104654",-0.99,3,"C-R00009"
31000898,"J124329",-0.99,3,"C-R00009"
31000899,"J114648",-0.99,3,"C-R00009"
31000900,"J131228",-0.99,3,"C-R00009"
31000901,"J110448",-0.99,3,"C-R00009"
31000902,"J144621",-0.99,3,"C-R00009"
31000903,"J153104",-0.99,3,"C-R00009"
31000904,"J100932",-0.99,3,"C-R00009"
31000905,"J114048",-0.99,3,"C-R00009"
31000906,"J115706",-0.99,3,"C-R00009"
31000907,"J123230",-0.99,3,"C-R00009"
31000908,"J152218",-0.99,3,"C-R00009"
31000909,"J123303",-0.99,3,"C-R00009"
31000910,"J102856",-0.99,3,"C-R00009"
31000911,"J151900",-0.99,3,"C-R00009"
31000912,"J124646",-0.99,3,"C-R00009"
31000913,"J153528",-0.99,3,"C-R00009"
31000914,"J112850",-0.99,3,"C-R00009"
31000915,"J102257",-0.99,3,"C-R00009"
31000916,"J142414",-0.99,3,"C-R00009"
31000917,"J165803",-0.99,3,"C-R00009"
31000918,"J115918",-0.99,3,"C-R00009"
31000919,"J222104",-0.99,3,"C-R00009"
31000920,"J124203",-0.99,3,"C-R00009"
31000921,"J112608",-0.99,3,"C-R00009"
31000922,"J161657",-0.99,3,"C-R00009"
31000923,"J111805",-0.99,3,"C-R00009"
31000924,"J113451",-0.99,3,"C-R00009"
31000925,"J141007",-0.99,3,"C-R00009"
31000926,"J164034",-0.99,3,"C-R00009"
31000927,"J101750",-0.99,3,"C-R00009"
31000928,"J165001",-0.99,3,"C-R00009"
31000929,"J111619",-0.99,3,"C-R00009"
31000930,"J140521",-0.99,3,"C-R00009"
31000931,"J140752",-0.99,3,"C-R00009"
31000932,"J143447",-0.99,3,"C-R00009"
31000933,"J142018",-0.99,3,"C-R00009"
31000934,"J105102",-0.99,3,"C-R00009"
31000935,"J124630",-0.99,3,"C-R00009"
31000936,"J165302",-0.99,3,"C-R00010"
31000937,"J143916",-0.99,3,"C-R00010"
31000938,"J221414",-0.99,3,"C-R00010"
31000939,"J153903",-0.99,3,"C-R00010"
31000940,"J103955",-0.99,3,"C-R00010"
31000941,"J210952",-0.99,3,"C-R00010"
31000942,"J134102",-0.99,3,"C-R00010"
31000943,"J140050",-0.99,3,"C-R00010"
31000944,"J131757",-0.99,3,"C-R00010"
31000945,"J140341",-0.99,3,"C-R00010"
31000946,"J111856",-0.99,3,"C-R00010"
31000947,"J102407",-0.99,3,"C-R00010"
31000948,"J151341",-0.99,3,"C-R00010"
31000949,"J110706",-0.99,3,"C-R00010"
31000950,"J133651",-0.99,3,"C-R00010"
31000951,"J123452",-0.99,3,"C-R00010"
31000952,"J102143",-0.99,3,"C-R00010"
31000953,"J220832",-0.99,3,"C-R00010"
31000954,"J160847",-0.99,3,"C-R00010"
31000955,"J125949",-0.99,3,"C-R00010"
31000956,"J164250",-0.99,3,"C-R00010"
31000957,"J212329",-0.99,3,"C-R00010"
31000958,"J112905",-0.99,3,"C-R00010"
31000959,"J144447",-0.99,3,"C-R00010"
31000960,"J113530",-0.99,3,"C-R00010"
31000961,"J103604",-0.99,3,"C-R00010"
31000962,"J142038",-0.99,3,"C-R00010"
31000963,"J130403",-0.99,3,"C-R00010"
31000964,"J132525",-0.99,3,"C-R00010"
31000965,"J103653",-0.99,3,"C-R00010"
31000966,"J154642",-0.99,3,"C-R00010"
31000967,"J163526",-0.99,3,"C-R00010"
31000968,"J212713",-0.99,3,"C-R00010"
31000969,"J132635",-0.99,3,"C-R00010"
31000970,"J114330",-0.99,3,"C-R00010"
31000971,"J224926",-0.99,3,"C-R00010"
31000972,"J113619",-0.99,3,"C-R00010"
31000973,"J214654",-0.99,3,"C-R00010"
31000974,"J151429",-0.99,3,"C-R00010"
31000975,"J111214",-0.99,3,"C-R00010"
31000976,"J113420",-0.99,3,"C-R00010"
31000977,"J135526",-0.99,3,"C-R00010"
31000978,"J164116",-0.99,3,"C-R00010"
31000979,"J214227",-0.99,3,"C-R00010"
31000980,"J164342",-0.99,3,"C-R00010"
31000981,"J151538",-0.99,3,"C-R00010"
31000982,"J125938",-0.99,3,"C-R00010"
31000983,"J165806",-0.99,3,"C-R00010"
31000984,"J122803",-0.99,3,"C-R00010"
31000985,"J113243",-0.99,3,"C-R00010"
31000986,"J134022",-0.99,3,"C-R00010"
31000987,"J152143",-0.99,3,"C-R00011"
31000988,"J170717",-0.99,3,"C-R00011"
31000989,"J121452",-0.99,3,"C-R00011"
31000990,"J124126",-0.99,3,"C-R00011"
31000991,"J173230",-0.99,3,"C-R00011"
31000992,"J164457",-0.99,3,"C-R00011"
31000993,"J112944",-0.99,3,"C-R00011"
31000994,"J115253",-0.99,3,"C-R00011"
31000995,"J100118",-0.99,3,"C-R00011"
31000996,"J100620",-0.99,3,"C-R00011"
31000997,"J145916",-0.99,3,"C-R00011"
31000998,"J223207",-0.99,3,"C-R00011"
31000999,"J144646",-0.99,3,"C-R00011"
31001000,"J142520",-0.99,3,"C-R00011"
31001001,"J230226",-0.99,3,"C-R00011"
31001002,"J150704",-0.99,3,"C-R00011"
31001003,"J225524",-0.99,3,"C-R00011"
31001004,"J133234",-0.99,3,"C-R00011"
31001005,"J125833",-0.99,3,"C-R00011"
31001006,"J104459",-0.99,3,"C-R00011"
31001007,"J164713",-0.99,3,"C-R00011"
31001008,"J135355",-0.99,3,"C-R00011"
31001009,"J220838",-0.99,3,"C-R00011"
31001010,"J225949",-0.99,3,"C-R00011"
31001011,"J130535",-0.99,3,"C-R00011"
31001012,"J111255",-0.99,3,"C-R00011"
31001013,"J121628",-0.99,3,"C-R00011"
31001014,"J221117",-0.99,3,"C-R00011"
31001015,"J115015",-0.99,3,"C-R00011"
31001016,"J172751",-0.99,3,"C-R00011"
31001017,"J134301",-0.99,3,"C-R00011"
31001018,"J104351",-0.99,3,"C-R00011"
31001019,"J144408",-0.99,3,"C-R00011"
31001020,"J220950",-0.99,3,"C-R00011"
31001021,"J165815",-0.99,3,"C-R00011"
31001022,"J120452",-0.99,3,"C-R00011"
31001023,"J142026",-0.99,3,"C-R00011"
31001024,"J111031",-0.99,3,"C-R00011"
31001025,"J130116",-0.99,3,"C-R00011"
31001026,"J111309",-0.99,3,"C-R00011"
31001027,"J122213",-0.99,3,"C-R00011"
31001028,"J170740",-0.99,3,"C-R00011"
31001029,"J113543",-0.99,3,"C-R00011"
31001030,"J170817",-0.99,3,"C-R00011"
31001031,"J123405",-0.99,3,"C-R00011"
31001032,"J125741",-0.99,3,"C-R00011"
31001033,"J114627",-0.99,3,"C-R00011"
31001034,"J155117",-0.99,3,"C-R00011"
31001035,"J165118",-0.99,3,"C-R00011"
31001036,"J141004",-0.99,3,"C-R00011"
31001037,"J174317",-0.99,3,"C-R00011"
31001038,"J145040",-0.99,3,"C-R00011"
31001039,"J171549",-0.99,3,"C-R00011"
31001040,"J100009",-0.99,3,"C-R00011"
31001041,"J124257",-0.99,3,"C-R00011"
31001042,"J154530",-0.99,3,"C-R00011"
31001043,"J152636",-0.99,3,"C-R00011"
31001044,"J100728",-0.99,3,"C-R00011"
31001045,"J115504",-0.99,3,"C-R00011"
31001046,"J104905",-0.99,3,"C-R00011"
31001047,"J125149",-0.99,3,"C-R00011"
31001048,"J172743",-0.99,3,"C-R00011"
31001049,"J111421",-0.99,3,"C-R00011"
31001050,"J152146",-0.99,3,"C-R00011"
31001051,"J111603",-0.99,3,"C-R00011"
31001052,"J114127",-0.99,3,"C-R00011"
31001053,"J113923",-0.99,3,"C-R00011"
31001054,"J123837",-0.99,3,"C-R00011"
31001055,"J125049",-0.99,3,"C-R00011"
31001056,"J161455",-0.99,3,"C-R00011"
31001057,"J124715",-0.99,3,"C-R00011"
31001058,"J124813",-0.99,3,"C-R00011"
31001059,"J120945",-0.99,3,"C-R00011"
31001060,"J155541",-0.99,3,"C-R00011"
31001061,"J105017",-0.99,3,"C-R00011"
31001062,"J154900",-0.99,3,"C-R00011"
31001063,"J164951",-0.99,3,"C-R00011"
31001064,"J162459",-0.99,3,"C-R00011"
31001065,"J141832",-0.99,3,"C-R00011"
31001066,"J115136",-0.99,3,"C-R00011"
31001067,"J112854",-0.99,3,"C-R00011"
31001068,"J222222",-0.99,3,"C-R00011"
31001069,"J124654",-0.99,3,"C-R00011"
31001070,"J132750",-0.99,3,"C-R00011"
31001071,"J170511",-0.99,3,"C-R00011"
31001072,"J155852",-0.99,3,"C-R00011"
31001073,"J121856",-0.99,3,"C-R00012"
31001074,"J131025",-0.99,3,"C-R00012"
31001075,"J122854",-0.99,3,"C-R00012"
31001076,"J132222",-0.99,3,"C-R00012"
31001077,"J203753",-0.99,3,"C-R00012"
31001078,"J130835",-0.99,3,"C-R00012"
31001079,"J134123",-0.99,3,"C-R00012"
31001080,"J133857",-0.99,3,"C-R00012"
31001081,"J171813",-0.99,3,"C-R00012"
31001082,"J143513",-0.99,3,"C-R00012"
31001083,"J112656",-0.99,3,"C-R00012"
31001084,"J154357",-0.99,3,"C-R00012"
31001085,"J154145",-0.99,3,"C-R00012"
31001086,"J100129",-0.99,3,"C-R00012"
31001087,"J155124",-0.99,3,"C-R00012"
31001088,"J133207",-0.99,3,"C-R00012"
31001089,"J124830",-0.99,3,"C-R00012"
31001090,"J144725",-0.99,3,"C-R00012"
31001091,"J170409",-0.99,3,"C-R00012"
31001092,"J103326",-0.99,3,"C-R00012"
31001093,"J160739",-0.99,3,"C-R00012"
31001094,"J133041",-0.99,3,"C-R00012"
31001095,"J205412",-0.99,3,"C-R00012"
31001096,"J145851",-0.99,3,"C-R00012"
31001097,"J132737",-0.99,3,"C-R00012"
31001098,"J130247",-0.99,3,"C-R00012"
31001099,"J151405",-0.99,3,"C-R00012"
31001100,"J131802",-0.99,3,"C-R00012"
31001101,"J221515",-0.99,3,"C-R00012"
31001102,"J142951",-0.99,3,"C-R00012"
31001103,"J101736",-0.99,3,"C-R00012"
31001104,"J233739",-0.99,3,"C-R00012"
31001105,"J221447",-0.99,3,"C-R00012"
31001106,"J145645",-0.99,3,"C-R00012"
31001107,"J153051",-0.99,3,"C-R00012"
31001108,"J141451",-0.99,3,"C-R00012"
31001109,"J131859",-0.99,3,"C-R00012"
31001110,"J144553",-0.99,3,"C-R00012"
31001111,"J145615",-0.99,3,"C-R00012"
31001112,"J223109",-0.99,3,"C-R00012"
31001113,"J132721",-0.99,3,"C-R00012"
31001114,"J103353",-0.99,3,"C-R00012"
31001115,"J173223",-0.99,3,"C-R00012"
31001116,"J104837",-0.99,3,"C-R00012"
31001117,"J163745",-0.99,3,"C-R00012"
31001118,"J101500",-0.99,3,"C-R00012"
31001119,"J224826",-0.99,3,"C-R00012"
31001120,"J230905",-0.99,3,"C-R00012"
31001121,"J110924",-0.99,3,"C-R00012"
31001122,"J122220",-0.99,3,"C-R00012"
31001123,"J165153",-0.99,3,"C-R00012"
31001124,"J204030",-0.99,3,"C-R00012"
31001125,"J134136",-0.99,3,"C-R00012"
31001126,"J113334",-0.99,3,"C-R00012"
31001127,"J125403",-0.99,3,"C-R00012"
31001128,"J162437",-0.99,3,"C-R00012"
31001129,"J235630",-0.99,3,"C-R00012"
31001130,"J105409",-0.99,3,"C-R00012"
31001131,"J163529",-0.99,3,"C-R00012"
31001132,"J152931",-0.99,3,"C-R00012"
31001133,"J131559",-0.99,3,"C-R00012"
31001134,"J143918",-0.99,3,"C-R00012"
31001135,"J104643",-0.99,3,"C-R00012"
31001136,"J212304",-0.99,3,"C-R00012"
31001137,"J154634",-0.99,3,"C-R00012"
