modifier,affected,anomaly,system_class
0.85,"Signature Radius Bonus","Wolf Rayet",1
0.78,"Signature Radius Bonus","Wolf Rayet",2
0.71,"Signature Radius Bonus","Wolf Rayet",3
0.64,"Signature Radius Bonus","Wolf Rayet",4
0.57,"Signature Radius Bonus","Wolf Rayet",5
0.50,"Signature Radius Bonus","Wolf Rayet",6
1.30,"Armor HP Bonus","Wolf Rayet",1
1.44,"Armor HP Bonus","Wolf Rayet",2
1.58,"Armor HP Bonus","Wolf Rayet",3
1.72,"Armor HP Bonus","Wolf Rayet",4
1.86,"Armor HP Bonus","Wolf Rayet",5
2.00,"Armor HP Bonus","Wolf Rayet",6
0.85,"Shield Resistance Penalty","Wolf Rayet",1
0.78,"Shield Resistance Penalty","Wolf Rayet",2
0.71,"Shield Resistance Penalty","Wolf Rayet",3
0.64,"Shield Resistance Penalty","Wolf Rayet",4
0.57,"Shield Resistance Penalty","Wolf Rayet",5
0.50,"Shield Resistance Penalty","Wolf Rayet",6
1.60,"Small Weapon Damage Bonus","Wolf Rayet",1
1.88,"Small Weapon Damage Bonus","Wolf Rayet",2
2.16,"Small Weapon Damage Bonus","Wolf Rayet",3
2.44,"Small Weapon Damage Bonus","Wolf Rayet",4
2.72,"Small Weapon Damage Bonus","Wolf Rayet",5
3.00,"Small Weapon Damage Bonus","Wolf Rayet",6
